20170118_105037	93.2	-1.67299242	1000000.0	12
20170118_105047	94.1	-1.67424262	1000000.0	12
20170118_105058	93.7	-1.67855724	1000000.0	12
20170118_105107	93.5	-1.67522805	1000000.0	12
20170118_105118	93.5	-1.67385073	1000000.0	12
20170118_105128	93.9	-1.67557774	1000000.0	12
20170118_105138	93.9	-1.67502578	1000000.0	12
20170118_105148	94.3	-1.67767559	1000000.0	12
20170118_105158	93.9	-1.67513487	1000000.0	12
20170118_105207	94.1	-1.67656024	1000000.0	12
20170118_105218	94.1	-1.6742236	1000000.0	12
20170118_105227	94.9	-1.67309382	1000000.0	12
20170118_105238	95.0	-1.66959164	1000000.0	12
20170118_105248	94.9	-1.6709193	1000000.0	12
20170118_105258	94.9	-1.67338914	1000000.0	12
20170118_105308	95.0	-1.67207499	1000000.0	12
20170118_105318	94.9	-1.67229806	1000000.0	12
20170118_105328	95.0	-1.67063231	1000000.0	12
20170118_105338	95.2	-1.67330067	1000000.0	12
20170118_105348	95.6	-1.67493389	1000000.0	12
20170118_105358	95.8	-1.67748102	1000000.0	12
20170118_105408	96.0	-1.6765866	1000000.0	12
20170118_105418	96.2	-1.68136482	1000000.0	12
20170118_105428	96.4	-1.68023604	1000000.0	12
20170118_105438	96.7	-1.6839707	1000000.0	12
20170118_105448	97.1	-1.68362147	1000000.0	12
20170118_105457	97.5	-1.6810583	1000000.0	12
20170118_105508	97.9	-1.68605547	1000000.0	12
20170118_105518	98.1	-1.68647788	1000000.0	12
20170118_105528	98.4	-1.69099122	1000000.0	12
20170118_105538	98.8	-1.69402487	1000000.0	12
20170118_105548	98.8	-1.69601464	1000000.0	12
20170118_105558	98.8	-1.72812075	1000000.0	12
20170118_105608	99.0	-1.71271327	1000000.0	12
20170118_105618	99.0	-1.70424972	1000000.0	12
20170118_105628	99.0	-1.70380703	1000000.0	12
20170118_105638	99.0	-1.69680644	1000000.0	12
20170118_105648	99.0	-1.70075939	1000000.0	12
20170118_105658	98.8	-1.70030111	1000000.0	12
20170118_105708	99.0	-1.6985066	1000000.0	12
20170118_105718	99.2	-1.69863234	1000000.0	12
20170118_105728	99.0	-1.69415491	1000000.0	12
20170118_105738	99.0	-1.69473569	1000000.0	12
20170118_105748	99.0	-1.6947009	1000000.0	12
20170118_105758	99.2	-1.68874439	1000000.0	12
20170118_105808	99.0	-1.68955915	1000000.0	12
20170118_105818	99.2	-1.68882139	1000000.0	12
20170118_105828	99.2	-1.68813537	1000000.0	12
20170118_105838	99.0	-1.68854379	1000000.0	12
20170118_105848	98.8	-1.68766089	1000000.0	12
20170118_105858	99.0	-1.68559167	1000000.0	12
20170118_105908	99.0	-1.68467724	1000000.0	12
20170118_105918	99.0	-1.68770111	1000000.0	12
20170118_105928	99.0	-1.68813745	1000000.0	12
20170118_105938	99.0	-1.68746489	1000000.0	12
20170118_105948	99.0	-1.69239809	1000000.0	12
20170118_105958	99.0	-1.69017211	1000000.0	12
20170118_110008	99.2	-1.6874213	1000000.0	12
20170118_110018	99.0	-1.6885352	1000000.0	12
20170118_110028	99.2	-1.68958356	1000000.0	12
20170118_110038	99.0	-1.68895703	1000000.0	12
20170118_110048	99.2	-1.68699319	1000000.0	12
20170118_110058	99.2	-1.68537814	1000000.0	12
20170118_110108	99.2	-1.68638487	1000000.0	12
20170118_110118	99.2	-1.68617012	1000000.0	12
20170118_110128	99.2	-1.68533951	1000000.0	12
20170118_110138	99.2	-1.68161011	1000000.0	12
20170118_110148	99.0	-1.68440771	1000000.0	12
20170118_110158	98.8	-1.67502248	1000000.0	12
20170118_110207	98.6	-1.67935199	1000000.0	12
20170118_110218	99.0	-1.68481243	1000000.0	12
20170118_110228	98.8	-1.68009571	1000000.0	12
20170118_110238	99.0	-1.68064613	1000000.0	12
20170118_110248	99.2	-1.6836461	1000000.0	12
20170118_110258	99.0	-1.68411937	1000000.0	12
20170118_110308	99.0	-1.68369038	1000000.0	12
20170118_110318	99.2	-1.68118877	1000000.0	12
20170118_110328	99.0	-1.68093543	1000000.0	12
20170118_110338	99.0	-1.6816988	1000000.0	12
20170118_110347	99.2	-1.6800164	1000000.0	12
20170118_110357	99.2	-1.68033106	1000000.0	12
20170118_110407	99.2	-1.67934687	1000000.0	12
20170118_110417	99.0	-1.67850762	1000000.0	12
20170118_110427	99.2	-1.67948152	1000000.0	12
20170118_110437	99.0	-1.68011369	1000000.0	12
20170118_110447	98.8	-1.67959165	1000000.0	12
20170118_110458	99.0	-1.67878818	1000000.0	12
20170118_110508	99.0	-1.67685895	1000000.0	12
20170118_110518	99.2	-1.67754582	1000000.0	12
20170118_110528	99.0	-1.6765382	1000000.0	12
20170118_110538	99.2	-1.6758179	1000000.0	12
20170118_110548	99.0	-1.67412648	1000000.0	12
20170118_110558	99.2	-1.67407639	1000000.0	12
20170118_110608	99.2	-1.67448541	1000000.0	12
20170118_110618	99.0	-1.67189946	1000000.0	12
20170118_110628	99.0	-1.67267744	1000000.0	12
20170118_110638	99.0	-1.67331483	1000000.0	12
20170118_110648	99.0	-1.67326182	1000000.0	12
20170118_110658	99.0	-1.66954442	1000000.0	12
20170118_110708	99.0	-1.66931251	1000000.0	12
20170118_110718	99.0	-1.66922941	1000000.0	12
20170118_110728	99.2	-1.66603552	1000000.0	12
20170118_110738	99.0	-1.66635604	1000000.0	12
20170118_110748	99.0	-1.66676742	1000000.0	12
20170118_110758	99.0	-1.67029626	1000000.0	12
20170118_110808	99.0	-1.6662197	1000000.0	12
20170118_110818	99.0	-1.6642887	1000000.0	12
20170118_110828	99.0	-1.66424776	1000000.0	12
20170118_110838	99.0	-1.66541084	1000000.0	12
20170118_110848	99.0	-1.66833448	1000000.0	12
20170118_110858	99.2	-1.6668028	1000000.0	12
20170118_110908	99.2	-1.66273713	1000000.0	12
20170118_110918	99.2	-1.66176637	1000000.0	12
20170118_110928	99.2	-1.66396868	1000000.0	12
20170118_110938	99.0	-1.66374964	1000000.0	12
20170118_110948	99.0	-1.65932608	1000000.0	12
20170118_110958	98.8	-1.66023495	1000000.0	12
20170118_111008	99.0	-1.66206354	1000000.0	12
20170118_111018	99.0	-1.6599203	1000000.0	12
20170118_111028	99.2	-1.66036036	1000000.0	12
20170118_111038	99.2	-1.65545105	1000000.0	12
20170118_111048	99.2	-1.65468812	1000000.0	12
20170118_111058	99.2	-1.65406003	1000000.0	12
20170118_111108	99.4	-1.6558932	1000000.0	12
20170118_111118	99.0	-1.65292423	1000000.0	12
20170118_111128	99.0	-1.64748936	1000000.0	12
20170118_111138	99.2	-1.64807194	1000000.0	12
20170118_111148	99.4	-1.65002005	1000000.0	12
20170118_111158	99.4	-1.649361	1000000.0	12
20170118_111208	99.2	-1.65073428	1000000.0	12
20170118_111218	99.2	-1.64474103	1000000.0	12
20170118_111228	99.4	-1.63544159	1000000.0	12
20170118_111238	99.2	-1.62847898	1000000.0	12
20170118_111248	99.8	-1.60111843	1000000.0	12
20170118_111258	99.8	-1.62565458	1000000.0	12
20170118_111308	99.6	-9.9e+37	1000000.0	12
20170118_111318	99.6	-9.9e+37	1000000.0	12
20170118_111328	99.8	-0.0186573189	1000000.0	12
20170118_111338	99.8	-9.9e+37	1000000.0	12
20170118_111348	100.	-0.0183462688	1000000.0	12
20170118_111358	100.	-0.0175111531	1000000.0	12
20170118_111408	100.	-0.0187167127	1000000.0	12
20170118_111418	100.	-0.0186042199	1000000.0	12
20170118_111428	101.	-9.9e+37	1000000.0	12
20170118_111438	101.	-0.000894019705	1000000.0	12
20170118_111448	99.8	-9.9e+37	1000000.0	12
20170118_111458	99.8	-9.9e+37	1000000.0	12
20170118_111507	100.	-1.2845369	1000000.0	12
20170118_111518	100.	-0.0189694016	1000000.0	12
20170118_111528	100.	-9.9e+37	1000000.0	12
20170118_111538	100.	-0.0179369378	1000000.0	12
20170118_111548	101.	-0.0186957865	1000000.0	12
20170118_111558	101.	-0.00139218581	1000000.0	12
20170118_111608	101.	-0.000420420715	1000000.0	12
20170118_111618	100.	-0.000373414152	1000000.0	12
20170118_111628	98.8	-0.000107672027	1000000.0	12
20170118_111638	97.5	6.38236164e-05	1000000.0	12
20170118_111648	96.4	9.75043303e-05	1000000.0	12
20170118_111658	95.4	-2.737034e-05	1000000.0	12
20170118_111708	94.3	-5.69377466e-05	1000000.0	12
20170118_111718	93.5	2.98309319e-05	1000000.0	12
20170118_111728	92.6	-0.000209402425	1000000.0	12
20170118_111738	92.0	-0.000215973253	1000000.0	12
20170118_111748	91.8	-0.000185583834	1000000.0	12
20170118_111758	90.9	-0.000165897411	1000000.0	12
20170118_111808	90.0	0.000145234779	1000000.0	12
20170118_111818	88.8	0.000116841747	1000000.0	12
